Grupo Vehiculo;Placa;digito;Codigo SII;Año Vehículo;Tasacion;Tipo de Pago;Valor_Neto;Valor_IPC;Valor_Multa;Valor Pagado;Forma Pago;Fecha_Pago;Año Permiso;Tipo Vehiculo;Marca;Modelo;Color;Transmisión;Tipo Combustible;Cilindrada;Equipamiento;Numero Puertas
Vehiculo Liviano;BKHH-94;K;CT176014908;2008;1862297;Internet;32333;0;0;32333;Total;22-06-2024;2024;CAMIONETA;NISSAN;D21;BLANCO;Mec;Benc;2400;Norm;2
Vehiculo Liviano;JVLK-79;3;CT160012417;2017;11238393;Internet;110377;0;0;110377;1ra. Cuota;22-06-2024;2024;CAMIONETA;MAZDA;BT50;BLANCO;Mec;Dies;2200;Full;4
Vehiculo Liviano;FLTD-49;K;CT235013313;2013;8367579;Internet;134629;0;0;134629;Total;22-06-2024;2024;CAMIONETA;TOYOTA;HILUX;ROJO SUPER;Mec;Dies;2500;Full;4
Vehiculo Liviano;CDWH-32;0;HB160004110;2010;3080340;Internet;32333;0;0;32333;Total;22-06-2024;2024;AUTOMOVIL;MAZDA;MAZDA2 SPORT V MT;GRIS OSCURO;Mec;Benc;1500;Full;4
Vehiculo Liviano;FTWR-57;2;CT176027513;2013;5835880;Internet;77918;0;0;77918;Total;22-06-2024;2024;CAMIONETA;NISSAN;TERRANO;BLANCO;Mec;Dies;2500;Full;4
Vehiculo Liviano;PW-2305;0;CT079013507;2007;5724480;Internet;75690;0;0;75690;Total;22-06-2024;2024;CAMIONETA;FORD;F150;BLANCO;Aut;Benc;5400;Full;4
Vehiculo Liviano;BLZW-23;1;HB235002508;2008;2606000;Internet;32333;0;0;32333;Total;22-06-2024;2024;AUTOMOVIL;TOYOTA;YARIS SPORT XLI DAB;BLANCO;Mec;Benc;1300;Norm;4
Vehiculo Liviano;DZ-2286;1;SD106003792;1992;646474;Internet;32333;0;0;32333;Total;22-06-2024;2024;AUTOMOVIL;HONDA;CIVIC;BLANCO;Aut;Benc;1500;Full;4
Vehiculo Liviano;GSTC-67;8;HB229013117;2017;4800130;Internet;57203;0;0;57203;Total;22-06-2024;2024;AUTOMOVIL;SUZUKI;SWIFT 1.2 GLS AC;PLATEADO PLATA;Mec;Benc;1200;Full;4
Vehiculo Liviano;WU-6843;2;SU059009407;2007;2821130;Internet;32333;0;0;32333;Total;22-06-2024;2024;STATION WAGON;DAIHATSU;TERIOS;BLANCO;Aut;Benc;1500;Full;4
Vehiculo Liviano;PPSG-73;4;CT166006521;2021;17352384;Internet;208016;0;0;208016;1ra. Cuota;22-06-2024;2024;CAMIONETA;MITSUBISHI;L200;PLATEADO;Mec;Dies;2400;Equi;4
Vehiculo Liviano;CGXJ-73;9;SU229021310;2010;2243399;Internet;32333;0;0;32333;Total;22-06-2024;2024;JEEP;SUZUKI;JIMNY JX PS;PLATEADO PLATA;Mec;Benc;1300;Norm;2
Vehiculo Liviano;LYZP-89;0;CT166006920;2020;13311420;Internet;282944;0;0;282944;Total;22-06-2024;2024;CAMIONETA;MITSUBISHI;L200;BLANCO DIAMANTE;Mec;Dies;2400;Full;4
Vehiculo Liviano;FHDH-14;7;HB050012313;2013;2186929;Internet;32333;0;0;32333;Total;22-06-2024;2024;AUTOMOVIL;CHEVROLET;SPARK;BLANCO;Mec;Benc;1000;Full;4
Vehiculo Liviano;PZBG-10;6;HB132013021;2021;12368166;Internet;254646;0;0;254646;Total;22-06-2024;2024;AUTOMOVIL;KIA MOTORS;RIO;ROJO BENGALA;Aut;Benc;1400;NULL;5
Vehiculo Liviano;LKFS-99;K;CT166006919;2019;12436100;Internet;128342;0;0;128342;1ra. Cuota;22-06-2024;2024;CAMIONETA;MITSUBISHI;L200;ROJO;Mec;Dies;2400;Full;4
Vehiculo Liviano;RLJG-69;6;SU049005022;2022;10168107;Internet;188644;0;0;188644;Total;22-06-2024;2024;STATION WAGON;CHERY;TIGGO 2;ROJO METALIZADO;Aut;Benc;1500;NULL;5
Vehiculo Liviano;BWHZ-20;6;HB235003009;2009;2632400;Internet;32333;0;0;32333;Total;22-06-2024;2024;AUTOMOVIL;TOYOTA;YARIS;PLATEADO SILVER MICA;Mec;Benc;1300;Equi;4
Vehiculo Liviano;XW-8727;3;CT166004707;2007;4541868;Internet;52038;0;0;52038;Total;22-06-2024;2024;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA CRT 4X4;PLATEADO;Mec;Dies;2500;Full;4
Vehiculo Liviano;GKYS-50;4;CT225001214;2014;5884774;Internet;78896;0;0;78896;Total;22-06-2024;2024;CAMIONETA;SSANGYONG;A.SPORTS;BLANCO;Mec;Dies;2000;Full;4
Vehiculo Liviano;PW-6411;3;CT064005007;2007;3542377;Internet;17712;0;0;17712;1ra. Cuota;22-06-2024;2024;CAMIONETA;DODGE;RAM;BLANCO;Aut;Benc;4700;Full;2
Vehiculo Liviano;BXBK-15;0;CT050028009;2009;3430549;Internet;34305;0;0;34305;Total;22-06-2024;2024;CAMIONETA;CHEVROLET;S10 APACHE II CC DAB ABS;PLATEADO POLARIS;Mec;Benc;2400;Full;4
Vehiculo Liviano;JFWP-31;7;HB229015117;2017;2538148;Internet;32333;0;0;32333;Total;22-06-2024;2024;AUTOMOVIL;SUZUKI;ALTO;PLATEADO PLATA;Mec;Benc;800;Norm;4
Vehiculo Liviano;KKGK-14;4;HB111016718;2018;6644530;Internet;47046;0;0;47046;1ra. Cuota;22-06-2024;2024;AUTOMOVIL;HYUNDAI;ACCENT;NEGRO;Mec;Benc;1400;Full;4
Vehiculo Liviano;KDLK-90;9;SD132018418;2018;5607680;Internet;73354;0;0;73354;Total;22-06-2024;2024;AUTOMOVIL;KIA MOTORS;RIO;GRIS URBANO;Mec;Benc;1400;Equi;4
Vehiculo Liviano;HXRP-65;K;CT166006916;2016;9814527;Internet;89019;0;0;89019;1ra. Cuota;22-06-2024;2024;CAMIONETA;MITSUBISHI;L200;BLANCO FAIRY;Mec;Dies;2400;Full;4
Vehiculo Liviano;RN-9566;1;SU176003997;1997;1775136;Internet;32333;0;0;32333;Total;22-06-2024;2024;STATION WAGON;NISSAN;PATHFINDER;VERDE;Mec;Benc;3300;Full;4
Vehiculo Liviano;UC-8944;1;CT166002501;2001;1569220;Internet;32333;0;0;32333;Total;22-06-2024;2024;CAMIONETA;MITSUBISHI;L200 D/C DIESEL GL 4X2;BLANCO;Mec;Dies;2500;Norm;4
Vehiculo Liviano;FXRD-81;3;SD235020014;2014;3976830;Internet;40737;0;0;40737;Total;22-06-2024;2024;AUTOMOVIL;TOYOTA;YARIS;GRIS OSCURO;Mec;Benc;1500;Full;4
Vehiculo Liviano;FDXB-11;9;SD235020214;2014;3206121;Internet;32333;0;0;32333;Total;22-06-2024;2024;AUTOMOVIL;TOYOTA;YARIS;NEGRO GRIS;Mec;Benc;1500;Equi;4
Vehiculo Liviano;JHKF-74;6;SU162010117;2017;16673512;Internet;388877;0;0;388877;Total;22-06-2024;2024;STATION WAGON;MERCEDES BENZ;GLA;BLANCO;Aut;Dies;2100;Full;4
Vehiculo Liviano;PTDW-86;0;VN184002021;2021;14170427;Internet;308714;0;0;308714;Total;22-06-2024;2024;STATION WAGON;PEUGEOT;RIFTER;BLANCO BANQUISE;Aut;Dies;1600;NULL;4
Vehiculo Liviano;UG-2801;7;HB057001201;2001;990151;Internet;32333;0;0;32333;Total;22-06-2024;2024;AUTOMOVIL;DAEWOO;LANOS;ROJO SUPER;Mec;Benc;1500;Norm;2
Vehiculo Liviano;TH-1402;5;CT176003299;1999;1141797;Internet;32333;0;0;32333;Total;22-06-2024;2024;CAMIONETA;NISSAN;D21 D/C;AZUL;Mec;Benc;2400;Norm;4
Vehiculo Liviano;GCVB-85;0;SD050022614;2014;3811569;Internet;38116;0;0;38116;Total;22-06-2024;2024;AUTOMOVIL;CHEVROLET;AVEO SEDAN LT NB 1.4 MT AC ABS;GRIS METALICO;Mec;Benc;1400;Full;4
Vehiculo Liviano;DXTZ-61;4;SU154000312;2012;3427162;Internet;34272;0;0;34272;Total;22-06-2024;2024;STATION WAGON;MAHINDRA;SCORPIO SUV 4X2 CRDE;PLATEADO;Mec;Dies;2200;Full;4
Vehiculo Liviano;DLSH-40;6;CT176025912;2012;5442830;Internet;70057;0;0;70057;Total;22-06-2024;2024;CAMIONETA;NISSAN;NAVARA LE 4X2;BLANCO;Mec;Dies;2500;Full;4
Vehiculo Liviano;FRWF-14;2;VN243003913;2013;7883727;Internet;120113;0;0;120113;Total;22-06-2024;2024;FURGON;VOLKSWAGEN;CRAFTER 35;BLANCO;Mec;Dies;2000;Norm;4
Vehiculo Liviano;CHVC-33;1;SD166006710;2010;3843065;Internet;38431;0;0;38431;Total;22-06-2024;2024;AUTOMOVIL;MITSUBISHI;LANCER;GRIS GRAFITO;Mec;Benc;1500;Full;4
Vehiculo Liviano;JGSC-77;6;HB132008517;2017;5249680;Internet;66194;0;0;66194;Total;22-06-2024;2024;AUTOMOVIL;KIA MOTORS;RIO;ROJO SIGNAL;Mec;Benc;1200;Equi;4
Vehiculo Liviano;KGVL-37;6;SU018000118;2018;4990780;Internet;61016;0;0;61016;Total;22-06-2024;2024;STATION WAGON;BAIC;X25 1.5 MT COM;ROJO;Mec;Benc;1500;Full;4
Vehiculo Liviano;WW-7003;4;SD176020807;2007;2657566;Internet;32333;0;0;32333;Total;22-06-2024;2024;AUTOMOVIL;NISSAN;PLATINA HL 408;ROJO METALICO;Mec;Benc;1600;Full;4
Vehiculo Liviano;KZTY-98;4;SU106005619;2019;14968593;Internet;332659;0;0;332659;Total;22-06-2024;2024;STATION WAGON;HONDA;HR-V;BLANCO;Aut;Benc;1800;Full;4
Vehiculo Liviano;BHVR-44;3;HB160004108;2008;2687866;Internet;32333;0;0;32333;Total;22-06-2024;2024;AUTOMOVIL;MAZDA;MAZDA2 SPORT V MT;GRIS OSCURO;Mec;Benc;1500;Full;4
Vehiculo Liviano;BDSJ-20;3;CT160008808;2008;4192380;Internet;45048;0;0;45048;Total;22-06-2024;2024;CAMIONETA;MAZDA;BT50;PLATEADO;Mec;Dies;2500;Full;4
Vehiculo Liviano;KLGG-35;2;SD197015018;2018;5662530;Internet;37226;0;0;37226;1ra. Cuota;22-06-2024;2024;AUTOMOVIL;RENAULT;SYMBOL;ROJO FUEGO;Mec;Benc;1600;NULL;4
Vehiculo Liviano;CDVY-32;8;CT079011610;2010;3224908;Internet;32333;0;0;32333;Total;22-06-2024;2024;CAMIONETA;FORD;RANGER;ROJO;Mec;Benc;2300;Full;4
Vehiculo Liviano;GXBB-94;0;HB132004115;2015;4071179;Internet;42624;0;0;42624;Total;22-06-2024;2024;AUTOMOVIL;KIA MOTORS;MORNING EX 1.2 AT AC DAB ABS;NEGRO GALAXI;Aut;Benc;1200;Full;4
Vehiculo Liviano;JDWX-25;2;SD184024417;2017;6098580;Internet;83172;0;0;83172;Total;22-06-2024;2024;AUTOMOVIL;PEUGEOT;301 ALLURE PACK 1.6 HDI 92HP;GRIS SHARK;Mec;Dies;1600;Full;4
